,name,address,budget,genre
0,イタリアンダイニングバーエルデ,東京都新宿区西新宿７-7-21 ラ・メゾン・ワタナベ,B004,G006
1,a coeur joie,東京都荒川区西尾久８丁目ー４４ー４,B008,G006
2,A bientot,東京都杉並区荻窪５丁目10－21　ＴＹビル　１Ｆ,B011,G014
3,A MOMENT 恵比寿,東京都渋谷区恵比寿南１-23-1 ABC亜米利加橋ビル 3F,B008,G014
4,A Talk Club WOOFER,東京都渋谷区代々木１-32-1 おしろビルB1,B001,G001
5,アーキテクチャcafe&bar 棲家,東京都新宿区新宿３-6-7 4階,B003,G002
6,アークヒルズ カフェ ARK HiLLS CAFE,東京都港区六本木１-３-４０アークヒルズ カラヤン広場 スペイン坂入口,B002,G014
7,ARGENT,東京都目黒区中町１-２５-１２,B008,G006
8,Earth Eats アースイーツ,東京都北区赤羽南１丁目３－２　２階,B004,G006
9,ARCH CAFE&BAR アーチ カフェバー,東京都港区虎ノ門１-17-1 虎ノ門ヒルズビジネスタワー4F,B001,G014
10,ARTS,東京都港区南青山３-2-6　セントラル第5青山ビルBF,B004,G012
11,Arts & Crafts Kawachiya アーツアンドクラフツ カワチヤ,東京都港区新橋５－31－7,B003,G002
12,アート喫茶 フライ,東京都目黒区東山１－３－６　クレール東山 201,B002,G014
13,Art Shop Na,東京都台東区松が谷１-8-12,B008,G012
14,アートスペース フェニクス,東京都足立区足立４-20-12  VILLA五反野101,B001,G007
15,アートラウンジ デュエット 京王プラザホテル,東京都新宿区西新宿２-２-１　京王プラザホテル3階,B004,G014
16,アートレッグカフェ art ReG cafe 下北沢店,東京都世田谷区代沢５-30-10 アール下北沢2F,B002,G002
17,urban grove cafe,東京都豊島区上池袋２‐5‐１　健康プラザとしま1階,B002,G014
18,アーバンヒュッテK2,東京都江戸川区平井３-28-1東和プラザ１Ｆ,B001,G012
19,アーペ ape,東京都目黒区駒場４－６－１　東大駒場リサーチキャンパス生研　Ａｎ棟１Ｆ,B006,G006
20,アームウッド コテージ ARMWOOD COTTAGE,東京都新宿区新宿１‐１０‐５ 不二越ロフト２Ｆ,B002,G002
21,AHMS Social Connection TeaBar アームスソーシャルコネクションティーバー,東京都台東区蔵前２ －5－４　北條ビル1階101号室,B010,G014
22,Early Birds Dining 田原町店,東京都台東区寿３-19-8　変なホテル2階,,G003
23,Ｒ 市ヶ谷,東京都千代田区六番町４‐１１　朝日六番町マンションＢ１Ｆ,B008,G002
